artist.familiarity,artist.hotttnesss,artist.id,artist.latitude,artist.location,artist.longitude,artist.name,artist.similar,artist.terms,artist.terms_freq,release.id,release.name,song.artist_mbtags,song.artist_mbtags_count,song.bars_confidence,song.bars_start,song.beats_confidence,song.beats_start,song.duration,song.end_of_fade_in,song.hotttnesss,song.id,song.key,song.key_confidence,song.loudness,song.mode,song.mode_confidence,song.start_of_fade_out,song.tatums_confidence,song.tatums_start,song.tempo,song.time_signature,song.time_signature_confidence,song.title,song.year,artist_clean,release_name_clean
0.630630038,0.417499645,ARMJAGH1187FB546F3,35.14968,0,-90.04892,The Box Tops,0.0,blue-eyed soul,1.0,300822,0,0.0,1.0,0.007,0.71054,1.0,0.20627,148.03546,0.148,-1.0,SOCIWDW12A8C13D406,6.0,0.169,-9.843,0,0.43,137.915,0.969,0.20627,121.274,4.0,0.384,0,1969,the box tops,0
0.630382334,0.454231157,AR7G5I41187FB4CE6C,0.0,0,0.0,Adam Ant,0.0,pop rock,0.988583863,287650,0,0.0,1.0,0.017,1.30621,0.809,0.81002,233.40363,0.0,-1.0,SONHOTT12A8C13493C,0.0,0.751,-9.013,1,0.749,217.124,0.601,0.56254,119.293,4.0,0.0,0,1982,adam ant,0
0.651045661,0.401723686,ARXR32B1187FB57099,0.0,0,0.0,Gob,0.0,pop punk,0.887288301,611336,0,0.0,0.0,0.175,1.06368,0.883,0.13576,209.60608,0.066,0.604500739,SOFSOCN12A8C143F5D,2.0,0.092,-4.501,1,0.371,198.699,1.0,0.13576,129.738,4.0,0.562,0,2007,gob,0
0.426667857,0.332275747,AR8ZCNI1187B9A069B,0.0,0,0.0,Planet P Project,0.0,new wave,0.959766246,358182,0,0.0,0.0,0.806,1.91886,0.44,1.22595,269.81832,5.3,0.265861049,SOIAZJW12AB01853F1,4.0,0.717,-13.496,1,0.652,258.99,0.121,1.22595,86.643,4.0,0.487,0,1984,planet p project,0
0.776675856,0.553071992,ARIK43K1187B9AE54C,0.0,0,0.0,Lionel Richie,0.0,quiet storm,1.0,25811,0,0.0,1.0,0.191,0.82842,1.0,0.82842,307.3824,0.612,-1.0,SOBONFF12A6D4F84D8,3.0,0.524,-8.346,1,0.533,296.658,0.389,0.58901,125.197,3.0,0.211,0,1986,lionel richie,0
0.636423645,0.447935481,ARD842G1187B997376,43.64856,0,-79.38533,Blue Rodeo,0.0,country rock,1.0,135122,0,0.0,2.0,0.507,1.32118,0.0,0.30065,491.12771,0.0,0.405115722,SOHUOAP12A8AE488E9,7.0,1.0,-8.576,1,0.829,486.034,0.377,0.05047,119.826,4.0,0.756,0,1987,blue rodeo,0
0.707199764,0.51346329,ARYKCQI1187FB3B18F,0.0,0,0.0,Tesla,0.0,hard rock,1.0,372309,0,0.0,0.0,0.03,0.8752,1.0,0.05728,290.29832,0.145,0.684136191,SOXLBJT12A8C140925,7.0,0.725,-5.271,1,0.756,285.605,0.238,0.05728,150.062,4.0,0.931,0,2004,tesla,0
0.839962768,0.541888972,ARMAC4T1187FB3FA4C,40.82624,0,-74.47995,The Dillinger Escape Plan,0.0,math-core,0.944381208,223365,0,0.0,1.0,0.027,1.06698,0.931,0.33578,207.77751,0.061,0.666527846,SOBBUGU12A8C13E95D,7.0,0.381,-4.264,1,0.453,204.696,0.654,0.15349,166.862,4.0,0.0,0,2004,the dillinger escape plan,0
0.435415818,0.306242264,AR47JEX1187B995D81,37.83721,0,-94.35868,SUE THOMPSON,0.0,pop rock,0.979853486,652784,0,0.0,0.0,0.006,0.70311,0.587,0.26706,124.86485,0.0,0.495293621,SOBLGCN12AB0183212,10.0,0.697,-12.332,1,0.541,115.74,1.0,0.04025,137.522,4.0,0.0,0,1985,sue thompson,0
0.459797129,0.349912612,ARDNS031187B9924F0,32.67828,0,-83.22295,Tim Wilson,0.0,filk,1.0,160881,0,0.0,0.0,0.0,0.52648,0.0,0.52648,186.48771,1.083,-1.0,SONYPOM12A8C13B2D7,5.0,0.762,-4.516,1,0.539,175.467,0.231,0.07391,90.022,1.0,0.971,0,2005,tim wilson,0
0.588827101,0.379671125,AROUOZZ1187B9ABE51,40.79195,0,-73.94512,Willie Bobo,0.0,latin jazz,0.965406124,59744,0,0.0,0.0,0.02,1.01964,1.0,0.06314,168.25424,0.2,-1.0,SOBZBAZ12A6D4F8742,8.0,0.812,-9.616,1,0.736,161.89,0.959,0.06314,127.025,4.0,0.792,0,1997,willie bobo,0
0.396455254,0.299230368,ARH4Z031187B9A71F2,40.73197,0,-74.17418,Faye Adams,0.0,jump blues,1.0,373723,0,0.0,0.0,0.096,0.97531,0.987,0.3393,156.39465,0.562,0.0,SOVYKGO12AB0187199,8.0,0.569,-18.051,1,0.495,150.634,0.67,0.3393,95.957,3.0,0.689,0,1961,faye adams,0
0.706827671,0.416173065,ARB29H41187B98F0EF,41.88415,0,-87.63241,Terry Callier,0.0,soul jazz,0.985011245,228326,0,0.0,1.0,0.145,0.96908,0.708,0.42073,342.56934,0.063,0.413739836,SOGNCJP12A58A80271,6.0,0.381,-11.939,1,0.538,333.154,0.462,0.13836,110.189,3.0,0.353,0,1972,terry callier,0
0.640807102,0.418216518,ARAJPHH1187FB5566A,40.7038,0,-73.83168,The Shangri-Las,0.0,doo-wop,0.922774628,643400,0,0.0,0.0,0.812,0.10131,0.812,0.10131,164.80608,0.0,0.443291312,SOYTPEP12AB0180E7B,10.0,0.254,-10.922,1,0.042,156.177,0.879,0.10131,130.1,1.0,0.0,0,1964,the shangri-las,0
